龙虎武师‎ (2020), 洪金宝 , 元彪 , 黄曼凝 , 狄威 , 太保 , 午马 , 钱嘉乐
A计划 A計劃‎ (1983), 林青霞 , 张曼玉 , 董骠 , 楚原 , 曹查理 , 汤镇业 , 刘雅丽
红番区 紅番區‎ (1995), 郑裕玲 , 依华歌宝 , 池田昌子 , 阿尔多·桑布雷利 , 卢惠光
英伦对决 The Foreigner‎ (2017), 梅艳芳 , 归亚蕾 , 柯俊雄 , 午马 , 董骠
新警察故事‎ (2004), 权相宇 , 廖凡 , 姚星彤 , 张蓝心 , 白露娜 , 刘承俊 , 吴彦祖
龙兄虎弟 龍兄虎弟‎ (1986), 曾志伟 , 谭咏麟 , 劳拉·福纳 , 关之琳 , 肯·博伊尔 , 约翰·拉达尔斯基 , 博兹达尔·斯密贾尼克 , 陈友
A计划续集 A計劃續集‎ (1987), 张曼玉 , 关之琳 , 刘嘉玲 , 林威 , 董骠 , 关海山 , 吕良伟
十二生肖2‎ (2023)
尖峰时刻4 Rush Hour 4‎ (2024), 克里斯·塔克
警察故事续集 警察故事續集‎ (1988), 张曼玉 , 陈国新 , 楚原 , 曹查理
成龙历险记 第二季 Jackie Chan Adventures Season 2‎ (2001), 詹姆士·谢 , 夏野萨博
笑拳怪招‎ (1979), 田俊 , 李昆 , 石天 , 任世官 , 程天赐 , 韩鹰 , 金世玉
成龙历险记 第四季 Jackie Chan Adventures Season 4‎ (2003), 詹姆士·谢 , 夏野萨博
成龙历险记 第五季 Jackie Chan Adventures Season 5‎ (2004), 詹姆士·谢 , 夏野萨博
师弟出马 師弟出馬‎ (1980), 元彪 , 李丽丽 , 李海生 , 田丰 , 太保 , 石坚
成龙的特技 成龍的特技‎ (1999), 卢惠光 , 布拉德利·詹姆斯·艾伦
第六届成龙国际动作电影周颁奖典礼‎ (2021)
龙少爷 龍少爺‎ (1982), 元奎 , 冯克安 , 陈惠敏 , 郑康业 , 火星
成龙的传奇 Jackie Chan: my story‎ (1998), 周华健 , 西尔维斯特·史泰龙 , 阿诺·施瓦辛格 , 杨紫琼 , 洪金宝 , 元彪 , 于占元
我的日记‎ (2023), 诺亚·琴蒂内奥 , 凯文·克莱恩 , 刘德华 , 王力宏 , 房祖名 , 玛蒂娜·斯托塞尔 , 王凯 , 钱嘉乐
成龙历险记 第三季 Jackie Chan Adventures Season 3‎ (2002), 詹姆士·谢 , 夏野萨博
许愿神龙 Wish Dragon‎ (2021)
1995成龙杯澳门明星车赛 Speed Week‎ (1995), 张曼玉 , 钟丽缇 , 周海媚 , 邓萃雯 , 邵美琪 , 刘若英 , 杨恭如
成龙•英雄诞生物语 ジャッキー・チェン～ヒーロー誕生物語～‎ (1990), 洪金宝 , 房道龙 , 元彪 , 陈自强 , 渡边彻 , 蓝洁瑛
第四届成龙国际动作电影周颁奖典礼‎ (2018), 吴思远 , 杨紫琼 , 洪金宝 , 文隽 , 陆川 , 黄晓明 , 白百何
许愿神龙2 Wish Dragon 2‎ (2024), 约翰·赵 , 牛骏峰 , 薇薇 , 黄谷悦 , 刘承羽
曼哈顿‎ (2025)
雁侠行‎ (2020)
2021年山东卫视春节联欢晚会‎ (2021), 张韶涵 , 刘雨昕 , 毛阿敏 , 贾凡 , 许魏洲 , 韩沐伯 , 灵超
我看你有戏‎ (2015), 张国立 , 冯小刚 , 李冰冰 , 李萌萌
狼旗 Wolf Flag‎ (2026)
首届海南岛国际电影节闭幕式暨颁奖典礼‎ (2018), 朱丽叶·比诺什 , 阿米尔·汗 , 徐峥 , 姚晨 , 麦斯·米科尔森 , 约翰尼·德普 , 伊莎贝尔·于佩尔
十二生肖传说 Once Upon a Zodiac‎ (2026)
第一届成龙国际动作电影周颁奖典礼‎ (2015), 林鹏 , 吴京 , 王宝强 , 托尼·贾 , 杰佳·亚宁 , 余男 , 李仁港
第二届成龙国际动作电影周颁奖典礼‎ (2016), 袁和平 , 欧文·威尔逊 , 乔恩·德沃尔 , 杰布·克里斯 , 张静初 , 叶伟信 , 陈德森
极夜‎ (2020)
未来你好——“毕业歌2020”云演唱会‎ (2020), 黄晓明 , 黎明 , 李易峰 , 刘涛 , 白敬亭 , 刘欢 , 孔祥东
2018年北京台春晚‎ (2018), 黄晓明 , 关晓彤 , 冯小刚 , 张嘉益 , 徐帆 , 吴京 , 潘长江
龙小队 J-Team‎ (2025)
Jackie Chan: Down to Earth‎ (2020)
The Brothers‎ (1987)
第四届丝绸之路国际电影节颁奖典礼‎ (2017), 姚晨 , 刘昊然 , 克里斯汀·斯科特·托马斯 , 王力宏 , 马丽 , 吴京 , 黎瑞刚
第一届北京国际电影节颁奖典礼‎ (2011), 章子怡
奥运梦想盛典‎ (2012), 陈奕迅 , 范冰冰 , 郭富城
